Address,Transaction ID,TotalCommitedALGO,Committed Algo Amount,Committed LP Tokens in Algo,Total committed amount eligible for extra rewards in ALGO,Registration Datetime,Beneficiary Address,xGov Controller Address,xGov
XZ4JUEKDF2NMC7UF66LCBLXHYNR24J4VPGDEYYUJW47XPGTEPADD2GYIWU,SQG5GYVYX4W6TUJAUTMEKW6R6F3QI2ARLPJ4U6IH6BFTLH2K3H3Q,256998063576,256998063576,0,256998063576,2024-10-10 11:06:56.944438+00:00,Z5VGDFIA4XPH4C55WZMKCESIJ2WWHFWCGCNGI5Q6ZXMEKIWFZNLPEZGGGI,,No
OW4EQJQAY75XTWAKPW2ODCAWUJ2DJNGIV5ZY5CRGYSWQIQ4UNUOTHGQCYE,2W6DUM2YKBXKJEYRLQUPCG3VEMPZUW5A53JB7MNRYOHBHQDMKIZQ,1412725600,1412725600,0,0,2024-10-10 11:05:00.233104+00:00,,,No
HVAPIKU7JF2HY7DJIYPU65PM5BB5CJNABN7XA52JDRN4DHZS2R3U5IWYHA,6HXCKYYYY2JDYI2RSDPLEM7JI3JWZJTLMYH4FIWGDDELLDR7XFFA,2680000000,2680000000,0,0,2024-10-10 11:03:52.575456+00:00,,,No
IMJOWL4NHBG5A4OJEALM5ZG2E3PKABO4QK2FOLD2CHJJBC4LRBNGHWFMIE,LPO7PV25QHLXTIFB4RR5UGJJJGXS5XTGFNMU7SCNQPNOGKMTUCIA,6812000000,6812000000,0,0,2024-10-10 10:41:31.717936+00:00,,,No
NAGIAZZ44BWTN2E7I2QAKYPVLK4DO7ACCR5EMHABHDKL6FTE7ALIO5U3GI,YJ7VMRSETDBSCEX3DWNXTULEZATHD6NMVVSZXX7RYB5PN5TNHPFQ,106973137,106973137,0,106973137,2024-10-10 10:39:19.331082+00:00,X3VYG6Y6ZLIFADQ5AGVMUSPKFWGK7WJ6FMLG7YB7CE327VETYXELUIFA6Q,,No
MOIRTFSYFZ5SWSPVANZIVGH6PZ4MVXIL374CMFRW2HXHCZQM6YOU6RNNAM,6XLIIND7YMLVALFSYBEQIRNEVURAGVVWMNVNPL5O2DCN3K52CZNA,157316724,0,157316724,157316724,2024-10-10 10:39:13.021293+00:00,,,No
TKUV5MYAEX76WIFNVBPK2I2XIKGSXJZGG4AWPPUCJDOFJNMY4633BCBGVU,KXB262QHB5U6ZU5NUPL7QLZHRQW466GI4GCLIE3X7DSY4MOWIFFA,55924373113,55924373113,0,0,2024-10-10 10:39:08.048380+00:00,,,No
ZGYCQDJ52W7MNZ5HY5XAAKUENRQ2EGZRZFJ3YCOKRCKE5K7R2FNR7KGUOM,A76YSLNQEXC26ZWGP3MWHX4P5664AUPILFII6EZGHWJFZNMZZ3QA,5406899223,0,5406899223,5406899223,2024-10-10 10:35:59.918742+00:00,,,No
PQ6VC4FGRH72XD4LB7DL75R7HDAH5J6K7VAB44QUBWRYZCDFGSNG5EXMPE,3GHDME7ODFL6BF2JSIKJUGLIY5OLKTXS2HCKIRURWQ2HNTY5YTOQ,329566990,0,329566990,329566990,2024-10-10 10:35:34.247996+00:00,MOIRTFSYFZ5SWSPVANZIVGH6PZ4MVXIL374CMFRW2HXHCZQM6YOU6RNNAM,,No
UUCWPZYNC3F3BXLRYDU3OU3H3TCQE4OQ7DZWXV4PZD5KXJBSXLO5G2YC7M,BG2D3FVV6JWYZ4XNOBP6IPMOYZRYXKFUNGOYMMJ7AQ3FKYJW23MA,350000000,350000000,0,350000000,2024-10-10 10:34:34.358964+00:00,MOIRTFSYFZ5SWSPVANZIVGH6PZ4MVXIL374CMFRW2HXHCZQM6YOU6RNNAM,,No
