Date,BKEX,BTC Markets,BTCTurk,Binance,BingX,BitGo,BitPanda,BitZ,Bitbox,Bitfinex,Bitkub,Bitmax,Bitrue,Bitso,Bitstamp,Bittrex,Bitvavo,Blockchain.com,ByBit,Changelly,CoinSpot,Coinbase,Coinex,Coinlist,Crypto.com,Gate.io,Hotbit,Indodax,Koibanx,Korbit,Kraken,Kucoin,MEXC,Netcoins,OKX,OkCoin,Paribu,Phemex,ProBit,Ripio,UpHold,Vindax,WhiteBIT,Total
2024-08-28,35490.044553000014,14875762.362533992,18433532.069997,556008496.7579149,3623805.111280999,0.1979999989271164,117390855.22273,0.1000000000803993,4645.409785000049,7151587.858449009,282243.6729909993,6154.261867000967,1245053.2480739998,5750786.106804002,2198256.7581440117,202111.76604099956,117661614.69313802,62424.97081199988,78082684.75824393,1050389.2443579992,44335903.89816302,1002636031.8186476,2837774.1863090014,928643.310753993,90319875.3933749,13799799.501002971,701012.851019,3838578.332992001,3.1260000000000048,3408727.929455003,7119557.426944135,2059953.907941992,5071291.269237998,1733643.8134779998,44984738.158467,887792.1548620015,10247610.589352004,1617391.4923840018,33478.74034,11825.540431999943,700318586.4115021,926.5680990000004,477131.223938999,2861436172.260413
2024-08-29,35490.044553000014,14876775.949490992,18433532.069997,556526355.4443929,3649236.888426999,0.1979999989271164,117403436.014446,0.1000000000803993,4645.409785000049,7149994.863120009,231823.67999099928,6184.160867000967,1090901.4156749998,5730693.017336002,2335219.978435011,202111.76604099956,117282346.09936202,52045.73007999988,77911897.84525493,1046925.3953479992,44305509.87066702,1002436087.3577724,2847683.583119001,923162.1988189928,90106597.84620193,13768319.967639972,686093.178975,3838578.332992001,3.1260000000000048,3408885.762455003,7145243.769335135,1935547.985937992,4827983.386587998,1731152.2352319998,44959984.07011899,887582.3290640016,10264898.612136004,1626382.592538002,37652.899983,11673.540846999946,700266256.7658532,926.5680990000004,474639.222938999,2860460461.273914
2024-08-30,35490.044553000014,14876813.234150993,18433532.069997,556216915.6092489,3656776.400096999,0.1979999989271164,117389142.056961,0.1000000000803993,4645.409785000049,6947177.094120009,243540.03462099927,11892.130035000966,1072864.0406749998,5726482.267143002,2301893.997332012,202111.76604099956,117158812.84044102,50750.00921099988,79073053.26611793,1027298.1392519992,44317940.708287016,1002955327.6862783,3207340.113847001,909535.754318993,89699843.06365392,14028785.85846297,717662.2507430001,3838578.332992001,3.1260000000000048,3408885.762455003,7253518.849884135,1146730.1637679916,4696502.290136998,1739098.9864499995,44473593.809972994,887582.3290640016,10264576.508581003,1653826.800681002,37652.899983,11673.540846999946,700339630.6148561,926.5680990000004,472474.521938999,2860490881.249082
2024-08-31,35490.044553000014,14876868.132170992,18433532.069997,557919316.4520669,3678212.426118999,0.1979999989271164,117399570.824925,0.1000000000803993,4645.409785000049,6947176.185120009,234009.22410999928,11801.129035000966,1066512.4719019998,5735339.588855002,2285693.996332011,202111.76604099956,117104637.85874002,50713.64780699988,79362924.84877492,921998.2156639992,44320280.012249015,1002360850.5687054,3203799.9049290013,908109.6716319928,90007543.13142791,14009084.88811397,713165.1857260001,3838578.332992001,3.1260000000000048,3408885.762455003,7327709.033538135,848751.6507639915,2606677.5623859977,1727742.5302329997,43998005.78109399,887582.3290640016,10269306.977851003,1652866.879626002,37652.899983,11570.035259999946,700325931.1105711,926.5680990000004,472474.521938999,2859208053.0546365
2024-09-01,35490.044553000014,14876536.152284993,18433532.069997,556048837.5402949,3659016.614851999,0.1979999989271164,117381645.016078,0.1000000000803993,4645.409785000049,6950305.155720009,616053.3470699993,9756.522973000963,1077772.9342679998,5735566.860731002,2241720.6539400117,202111.76604099956,117049349.3767,48469.27637299988,79459342.17965092,1124430.5346389993,44323040.60803501,1003675608.4722124,3192892.4609740013,900968.9916489928,90068309.95644392,13987664.91670597,700307.8557610001,3838578.332992001,3.1260000000000048,3419199.035755003,7663768.987783135,796640.8855979915,2145322.662854998,1725838.5523439995,43490529.04299499,887540.8786640016,10279386.972091006,1580005.4173750018,37652.899983,11526.966095999946,700305758.3697611,926.5680990000004,472474.521938999,2858458528.236062
2024-09-02,35490.044553000014,14874807.261864994,18433532.069997,554981558.2621579,3667598.840932999,0.1979999989271164,117366924.51343802,0.1000000000803993,4645.409785000049,6949144.072194008,277726.22928999935,9513.580113000966,1036496.037392,5747742.011507002,2451090.5409400114,202111.76604099956,116917071.473628,48510.70244399988,79618284.30228892,1072320.1665109992,44322160.648497015,1004159976.9899164,3196995.729921001,897554.0418509928,90089449.20535192,13753530.54874997,718690.8155420001,3838578.332992001,3.1260000000000048,3419199.035755003,7425072.127612134,750841.3789199915,2312827.806927998,1725395.7996949998,43156245.72243899,887535.1940890016,10387778.227647008,1607559.366529002,37561.891983,11526.965095999944,700316824.9400691,926.5680990000004,472474.521938999,2857183276.5686994
2024-09-03,35490.044553000014,14877939.533481997,18433532.069997,555388574.4230199,3680477.645335999,0.1979999989271164,117280257.816212,0.1000000000803993,4645.409785000049,6889787.2114570085,277726.22928999935,9807.117513000963,1006096.2010859998,5709563.703089002,2308825.8642170117,202111.76604099956,116688309.00869802,48510.70244399988,79659825.12565392,1012421.7150129993,44324765.32786102,1003753908.4440564,3182607.7547480017,881248.7515409929,90032809.74452592,13635032.74861497,698780.0679580001,3838578.332992001,3.1260000000000048,3419199.035755003,7542577.623351134,803501.4736519916,1643647.255310998,1741474.2405509998,42875610.03807899,886524.8134150016,10409747.676687006,1619505.1812210018,36176.23858299999,11526.964095999943,700326048.6463581,926.5680990000004,472474.521938999,2855650576.460281
2024-09-04,35490.044553000014,14877755.642481994,18433532.069997,559648652.8632979,3675279.011517999,0.1979999989271164,117231749.745775,0.1000000000803993,4645.409785000049,6638901.136549008,223915.16850799933,9807.117513000963,960722.334803,5733490.384285002,2344277.127297011,202111.76604099956,117230599.00882402,48510.70244399988,79340968.56800292,999497.3952389992,44316131.523304015,1003604237.4260534,3160331.096574001,844329.3505029929,89931813.37232992,13663459.21513997,694911.449341,3838578.332992001,3.1260000000000048,3429929.4774840027,7411280.719331134,1815897.140590992,1740804.750150998,1741596.9285899997,43634285.182327,886300.5745660017,10442723.174129006,1613930.4457110018,36176.23858299999,11525.963095999943,700285148.5779861,926.5680990000004,472474.521938999,2861216700.949734
2024-09-05,35490.044553000014,14906675.877281994,18433532.069997,558442652.1474689,3666350.907285999,0.1979999989271164,117510981.09144102,0.1000000000803993,4645.409785000049,6613134.359371008,259143.97504899933,7810.764093000966,884067.4151399998,5743280.088242002,2320131.5562160118,202111.76604099956,117220982.48075902,48404.02123299988,78581409.87952392,1361147.8573069992,44291774.04983102,1003613670.1178634,3185131.220896001,798135.2719209929,90006073.68302792,13730482.53760497,802324.412126,3838578.332992001,3.1260000000000048,3429615.532238003,7821649.8008701345,1910090.616930992,3567087.392224998,1740149.9265899996,42835698.725443,886300.5745660017,10473360.994934006,1614428.5579490017,36176.237583,11525.961095999945,700354063.7536621,926.5680990000004,475074.319938999,2861664273.7231755
2024-09-06,35490.044553000014,14950977.508833991,18433532.069997,557037824.1603379,3681153.091969999,0.1979999989271164,117483364.75091602,0.1000000000803993,4645.409785000049,6596729.527519008,345153.02916299936,8153.081093000966,896169.3075839998,5803986.492319002,2347351.9546630112,202111.76604099956,118082126.52295102,48404.02123299988,83005772.27446891,1443766.9476609991,44273744.47852102,1007855667.9426954,3184569.0282180016,796281.3089339929,90048259.30336992,13656076.829235973,686507.2031070001,3838578.332992001,3.1260000000000048,3431744.427506003,7797250.936672134,1318248.2634949917,2382189.204929998,1803217.1400689995,42324087.533365,886300.5745660017,10513956.966761006,1552108.7944160018,36176.236583,8021.021983999944,700516968.6177851,926.5680990000004,465961.18793899904,2867783557.286332
2024-09-07,35490.044553000014,14944015.368571991,18433532.069997,557083853.553345,3668234.6704139984,0.1979999989271164,117444729.75035402,0.1000000000803993,4645.409785000049,6602302.240760008,294034.28862399934,8156.479093000966,881347.1285839998,5806057.426236002,2325383.104618011,202111.76604099956,118230782.10962802,48404.02123299988,82791233.75594792,1545986.9618579992,44266626.55177702,1005797827.8831012,3160064.9715650016,795233.3004279928,90062259.52310993,13634238.10640097,640266.070839,3838578.332992001,3.1260000000000048,3419077.148280003,9125226.729696134,2667354.240038992,2305735.044185998,1803217.1400689995,43003886.006042,886300.5745660017,10511635.693121009,1561151.622556002,36176.235583,8005.318786999945,700634374.9503001,926.5680990000004,464220.329196999,2868972685.914377
2024-09-08,35490.044553000014,14944015.368571991,18433532.069997,559666444.9087299,3658079.314465998,0.1979999989271164,117407789.29354204,0.1000000000803993,4645.409785000049,6593884.207190008,254709.00896999933,8016.378093000966,869109.5709559998,5750258.254176002,2324495.327808011,202111.76604099956,118543486.20927204,48281.293665999874,82663253.49983191,1483627.2229859992,44256373.25895402,1005460249.4148484,3097251.602078001,790282.4192279929,90102589.17965592,13654215.244240971,683138.7790130001,3838578.332992001,3.1260000000000048,3419077.148280003,9599933.833910134,2458515.382327992,3928218.588982998,1801977.9337079995,43312338.180285,886300.5745660017,10724998.691041008,1578191.187743002,36176.234583000005,8005.318786999945,700600553.9846231,926.5680990000004,465175.228196999,2873594299.658778
2024-09-09,35490.044553000014,15048209.964161992,18433532.069997,562241609.6908399,3615121.772576998,0.1979999989271164,117481198.82611205,0.1000000000803993,4645.409785000049,6612979.068472008,202953.93670099933,3804.479298000966,997260.3808659996,5729142.523016002,2331996.7623910108,202111.76604099956,118523752.72312205,46510.721428999874,82520486.27654591,1422606.9991139993,44265158.21662202,1004325629.6785852,3204267.5560170016,785723.7011649929,90411275.97049692,13294086.122074973,690572.404117,3838578.332992001,3.1260000000000048,3418688.144280003,20430057.467111133,1695284.369109992,3789596.419422998,1802129.9149809997,44009758.761137,886300.5745660017,10709956.382842008,1592515.623940002,35839.534705000005,7931.160601999944,700664409.1128721,926.5680990000004,465175.228196999,2885777278.0829573
2024-09-10,35490.044553000014,14980263.864161992,18433532.069997,561193506.2413279,3589729.864126998,0.1979999989271164,117419330.94521002,0.1000000000803993,4645.409785000049,6621640.127107008,207645.52718999927,3804.479298000966,1027391.6584929996,5742393.450814002,2322040.317490011,202111.76604099956,118384256.58504003,52606.62674099988,82596102.98176791,1254653.1422339992,44263906.834743015,1005955868.5940822,3133882.2135780016,780158.8719759929,90356281.15888992,13643792.471241971,547184.103556,3838578.332992001,3.1260000000000048,3403088.1432800028,10042537.431122134,1778604.251573992,3577595.3920159983,1802129.9149809997,43939880.923675,886300.5745660017,10649436.038542008,1599915.797781002,35839.534705000005,7905.561310999944,700770299.5467881,926.5680990000004,465725.668196999,2875550986.4530745
2024-09-11,35490.044553000014,15025763.968001992,18433532.069997,560590171.9978108,3616645.287494998,0.1979999989271164,117410671.75756204,0.1000000000803993,4645.409785000049,6491849.074692008,206734.1701249993,252401.46284800096,915021.5403939998,5739222.012111003,2336873.970881011,202111.76604099956,118169450.48786104,41486.05057199988,82840773.9626099,1201361.6082019992,44255488.41335402,1006125278.2900164,3125595.296862001,732546.6618889929,90488716.28439692,13757260.960162971,520502.603403,4257279.3329920005,3.1260000000000048,3403243.266266003,8985278.093739133,2205529.788177992,3453191.4964919984,1770385.851583999,43785304.204956,886300.5745660017,10616861.476466008,1614234.440667002,35839.534705000005,7461.205170999944,700753656.64435,926.5680990000004,466044.182636999,2874761135.2364945
2024-09-12,35490.044553000014,15025794.678251993,18433532.069997,561324570.3281279,3640165.509569998,0.1979999989271164,117340462.77523305,0.1000000000803993,4645.409785000049,6491224.596676008,205166.2723799993,251459.459848001,984275.4216979998,5738280.959540003,2368785.646012011,202111.76604099956,118088239.87269904,41339.56989999988,83775195.3279579,1130873.2718159992,44208955.12800102,1006085367.1516672,3166379.4108920014,723546.9355679929,90544487.62691192,13734781.401496973,532219.214381,4257279.3329920005,3.1260000000000048,3376810.8672820027,8949519.746582134,2086967.481269992,3345747.2953699986,1770237.3098669993,43957319.276402,886300.5745660017,10602572.905816007,1624573.730281002,35839.53370500001,7297.236891999944,700793380.243739,926.5680990000004,466044.182636999,2876238169.5585046
2024-09-13,35490.044553000014,15021522.355251992,18433532.069997,563360540.2640568,3624423.555718998,0.1979999989271164,117315824.51022404,0.1000000000803993,4645.409785000049,6833045.114970008,205591.67905599932,246657.165148001,959562.8939149998,5711950.875216003,2360298.981327011,202111.76604099956,117663178.50468904,40591.58659599988,84405046.6387029,1078280.1817739992,44224772.33256702,1005332352.7688962,3134934.6429080013,714659.5538499928,90581443.62535492,13523549.09613897,532318.24849,4257279.3329920005,3.1260000000000048,3331888.754015003,8681022.467420133,2498023.5028579924,2179906.1533109983,1766383.8139659993,44441994.19116101,886300.5745660017,10577515.940986007,1640077.913193002,35839.52770500001,7279.348450999944,700805757.6363521,926.5680990000004,466044.182636999,2877122567.196939
2024-09-14,35490.044553000014,15010958.797315992,18433532.069997,565963826.8756248,3611918.737082998,0.1979999989271164,117321657.10867904,0.1000000000803993,4645.409785000049,6833045.114970008,206069.06429299936,239883.920048001,967308.3686099998,5642461.925792002,2360830.716295011,202111.76604099956,117672090.27260403,40982.67874399988,84577035.2502879,1025653.1825319992,44212598.24397002,1006158530.2182692,3131202.935458001,713256.0786659928,90571693.34563492,14135943.863633972,537503.278305,4157138.331992,3.1260000000000048,3330941.327638003,8691997.647774132,2368042.7861839924,2266269.2546039983,1765773.8538899992,44972086.856934,886300.5745660017,10544809.759151008,1642527.699929002,35839.52770500001,17254.012930999943,700797506.2254211,926.5680990000004,466044.182636999,2881553691.3006473
2024-09-15,35490.044553000014,15022058.787315993,18433532.069997,564640753.0558558,3669957.431097998,0.1979999989271164,117286964.65978302,0.1000000000803993,4645.409785000049,6833045.114970008,210231.98383799937,236363.31804800095,933284.9861169998,5639330.340845002,2359045.476649011,202111.76604099956,117825281.94830404,40982.67874399988,84422751.3494859,1008076.9604439992,44191294.515197024,1005884718.6934372,3141700.984783001,709875.7407279928,90507896.76613492,14270853.829957971,517995.83250500006,4058452.330992,3.1260000000000048,3330308.233648003,8538578.046625132,2419809.5035699923,1335943.1080999984,1765389.9151719993,44953709.266724005,886300.5745660017,10512357.435630009,1653661.257082002,35839.52770500001,17171.206631999943,700765502.5060401,837.5670990000003,466044.182636999,2878768151.830839
2024-09-16,35490.044553000014,15021011.719815992,18433532.069997,563669578.9855788,3689065.043188998,0.1979999989271164,117249041.27386704,0.1000000000803993,4645.409785000049,7476439.915153008,210094.2352079994,233867.01407800097,919190.8562819996,5614933.675975001,2336950.867815011,202111.76604099956,117439832.02611102,38880.03191599988,84775066.7634039,1137564.7863739992,44158097.183470026,1005594105.2859162,3197286.121935001,708835.4933099928,90598044.66100292,14206008.84603797,494048.35082100006,4058452.330992,3.1260000000000048,3329875.685111003,8937847.575053131,2543299.975979992,1443498.0704929985,1772772.4141789991,44728067.25966301,886300.5745660017,10522979.302296009,1661348.016876002,35839.52770500001,17171.206631999943,700762453.7186801,837.5670990000003,466044.182636999,2878610513.2595983
2024-09-17,35490.044553000014,15023784.974982992,18433532.069997,562337913.4995928,3686250.392653998,0.1979999989271164,117239197.48623905,0.1000000000803993,4645.409785000049,7176669.896374008,209278.7924459994,238260.62141800096,927983.3106259996,5613542.038819001,2383349.9509310112,202111.76604099956,117183481.81974004,49726.96381599989,84776967.96153091,1310386.373780999,44192160.28124303,1005798672.4298322,3143646.981450001,676446.9655129928,90706853.93298692,14369640.21514197,509686.2524110001,4058452.330992,3.1260000000000048,3336734.324709003,8694917.215393132,2588319.523319992,1530760.0121179984,1765979.7665669993,44595435.26983501,886300.5745660017,10487137.35565001,1677064.399922002,35839.52670500001,17128.213769999944,700759921.8981501,837.5670990000003,466120.081636999,2877130631.916338
