addr,app_id,label,is_cex,entity_name,tags
5EYP2467BNWUIE773T57P3VZ5RRMWUFCPSYOOUHVFP4AY5HSZ7MKECKTKI,,Coinbase,1,Coinbase,CEX
R7ALVPEQRGECJK33LANXMPENWYALTAZQTSGNCTEQPKBSBDI5KO252SAK64,,Coinbase,1,Coinbase,CEX
P73D4BTS5B55FBV5Q4K2JZNTJOOMACZY4TFYKLCHPCOGLUPGDBXDBVSS7E,,Coinbase,1,Coinbase,CEX
ASHPGJPHCZMSVBBUVFOVTSIYFKCR26STPOVPU4GWACKTZT35ZQYBSE775U,,Coinbase,1,Coinbase,CEX
LWUWBZPVBS24TDBDZ72LUYJJF75KUJ3IUP6YGG45PVKGNAJYRGQD5CSCPA,,Coinbase,1,Coinbase,CEX
MQOZTXRBYZ6JIPGQLNV6Y4REHFKVZKBXKIJVOGEYUDPLQNYZ5YJP72XZOE,,Coinbase 2,1,Coinbase,CEX; Verified
27D6WYEDJZHLFCLJNDJF63RFYFO32KZHOYBHET7BSVDHSTJQQI5GFN2QVI,,Coinbase 3,1,Coinbase,CEX; Verified
UXVAPU4KERSMNUILDVZUKKF4KMWQ7RFSSYPXYSEGSYNYILC4FEHISKRBNM,,Coinbase Pro,1,Coinbase,CEX; Verified
YBDSQOY2NDJUQMPIQ4SKTM2OKC75Y6ECZAQADH4JIM7R4CZPGOMSDGOHNU,,Coinex,1,Coinex,CEX
EENN3ZZRQ3LYK6DDKJHPGNSZQ277USW6YNDOLSI7O7JE2KXXA5XBMMJ2IM,,Coinex,1,Coinex,CEX
7OX3HVUAMTEIU3MHHUBAREGHX4STSOZL5EMZJD6ZTQCFTSSDQRRRHUSAIU,,CoinJar,1,CoinJar,CEX
AXY45DUDUDXFK2IBS6L4H4HFUD23IEIN7JJAQKQAQFAGP2L77P4F57NJ5M,,Coinlist 1,1,Coinlist,CEX; Verified
INEMEBYNS5I2CMX4JH3B7HFSY26AMJEO4T23Q3K6H6F7WR7JZMJ2YTOS7A,,Coinlist 2,1,Coinlist,CEX; Verified
LSAH7NBFXSUP2RSNS4UDA6KA3THYIS5CAWVE7IG4N45FAEGQOXYCXSL4TI,,CoinSpot,1,CoinSpot,CEX
SPOTCFOC4VU5QX7O7GIDFBZJNB5F4UVIJFT7KYYJCIE26QWS5MOAKFQQ5I,,CoinSpot,1,CoinSpot,CEX
UI6AGNWYGQD6HNQVEZ5ZTAQR27FHZ45VMLTS7LTSF2IZGAJMOIF4V4EEVU,,Crypto.com,1,Crypto.com,CEX
QWKLUAQ37BGQS4G6GTGIWPMIIOS4HHUELF5ZXWP2YNTELCTHJXUMTLVDMA,,Crypto.com,1,Crypto.com,CEX
ZQZSRRRDQTCUQLOEGIHQXIGPNM53XYC7BVJJKQ3TNBR5YJOCNTAO4HQLY4,,Crypto.com,1,Crypto.com,CEX
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,,Gate.io,1,Gate.io,CEX
7BL55CRKRASIQI263JQ5H5A4JJQFSHL7RWXMCKM6YDZAIJVEZQ76SXF2S4,,Gate.io,1,Gate.io,CEX
AXZJMJVPKJRA5Y7JOEEOYRXEMK6HP27B46MEZPP7Q7ACE2D6NV72NENBKE,,Hotbit,1,Hotbit,CEX
XLQRQIOWAJRL22CVSFM2UNV4TG3BPQVQLPZ2J2S7J2IQ3EFT2YHILJ7VTA,,Hotbit,1,Hotbit,CEX
VIHQZSDUMBXWPT4YAMWDR4A6BJFCLUGJRKCP2COUEN2XI2ZCSMLYGCU7JM,,Huobi,1,Hotbit,CEX
AXKCE4MXLRGFTUBQY7PMQDBIDNNFRKBERZN2RCYL7RMH6NAEX5SWAERFYY,,Indodax,1,Indodax,CEX
OOOFAW4KOQXXYWRAK7PRW5CJRAJK2G6CLGRZ4I7UUI2RZAROK5JMPBKOQM,,Korbit,1,Korbit,CEX
TUWEGKET4EGUK6HNPTTRVVV5HHR4A7GGN2PD5ZX5HN2NWIF56YTQWQ4EZQ,,Korbit,1,Korbit,CEX
MCYCCS4D2RMHF2ZU3ZGTI4VZQVMBNXUOEKNDME2SZJYI7KOXTLJSZMY2DA,,Korbit,1,Korbit,CEX
6L63JKTLVR7I5S6R6LSXSGPTZ6XAQEDXTH4V5CJXDGCXBTDJJYAUFBIRPE,,Korbit,1,Korbit,CEX
IVBHJFHZWPXRX2EA7AH7Y4UTTBO2AK73XI65OIXDEAEN7VO2IHWXKOKOVM,,Kraken,1,Kraken,CEX
3CIPOIS4KLKSA3XOCIRKX2TVUJ2V3F5A4P525VGMFCPGN7QFKDDYUABYOY,,Kucoin,1,Kucoin,CEX
RDKDV7CVOXLHO2OXBJCSLFDNJBTENDVT3LMFRYTZS7EKIAMAXZKBL42KHA,,Kucoin,1,Kucoin,CEX
YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,,KuCoin 1,1,Kucoin,CEX; Verified
M3IAMWFYEIJWLWFIIOEDFOLGIVMEOB3F4I3CA4BIAHJENHUUSX63APOXXM,,MEXC,1,MEXC,CEX
ZY6BN6YYKBPQHRIWKJPAKUWUHITBZ5TMIURC7IXUJ7QM6VFRGDGA3QB7N4,,MEXO,1,MEXO,CEX
ATBJFHENXPHD7RZHHDWHQVNW2AJJ4WJP6Z5OXRVKYYAEFIBDYSSLM7YUWY,,Netcoins,1,Netcoins,CEX
H2KE4AIZPIWHLSAMLQFUGRYTUFLGUA2FUM7CHTXNJ67LPOQ3F46TOSIQQM,,Netcoins,1,Netcoins,CEX
YNNIFIP46LBK5PGRWUSOABNIQDOFL2NRLPY6DNOUR4RD5MC4GTDJ4LAIQI,,Netcoins,1,Netcoins,CEX
6ABLO2GCGA4F3A2TJEVZVR7A73HVIJ7NTQZHBVU42YGVDRCBZEA6IXUW7U,,Nobitex,1,Nobitex,CEX
WRGZ2OKNY45KAT2RSCSPKLLOOG4GSSMD7PX4YY7DPMRQMIK2YRBPP6CUMA,,Nobitex,1,Nobitex,CEX
WRWOW5QXGYSZ47UJYTGRBO27KJP5WZSSOFKZCYA77S3HJKJTSW4K4E4TTY,,OkCoin,1,OkCoin,CEX
ZVMOZVZJK64NEYDPUDGGC52NI6HOX2LUQVIWYCQTJ2DFXRGPL72C2BQYNM,,Okx,1,OKX,CEX
33TEPJ2V7LVEUF5UJ4XZKTNJDZ2THE67TH7BRJKQZH6ZPKLPWKE4DWGMAI,,Okx 2,1,OKX,CEX
P5IFX3UBXZJPDSLPT4TB4RYACD2XJ74XSNKCF7KMW3P7ZGN4RRE3C2T5WM,,Paribu,1,Paribu,CEX
GVDYDJGOJRRUPDNTUOIZ7CNTMRMC33LY2ULRQBWBTSJSURXHEXIJHO5NHU,,Phemex,1,Phemex,CEX
QC7EZQEWHH4D7P4GG6EGIJIGG5E7ORURMMP5HFWUCN4ONT4LOQ7IVBCSNI,,Pionex,1,Pionex,CEX
ELTYSGAQGC7HGU56ZOCGSTZX3V7Z7Z5DHFKIRCLWTEWP5T3ZVLLNWQVWD4,,Pionex,1,Pionex,CEX
FICJGBANRGZTSCIGJFT6FVXP2RI4TFCNK57ZQGCKFRMRNSKF7ASTM7LFIE,,ProBit,1,ProBit,CEX
HIAP6GLZL5VZ2S73FQZHX3KHZGZQCNUZJCGPMK4Q6KISMB6UA3EKKYU3CQ,,Revolut,1,Revolut,CEX
LHCIKAW2ECELDV5UTNOMOQZ2HOK6LVXRYYGAZUJSTYUN7EJUCBZ32CHUKM,,Ripio,1,Ripio,CEX
OHFOF4GBX2RLHOQBAMAECD662QPOIGODRDAXFSYQELLSPN4VHIVQ6ZUI7Y,,Superex,1,Superex,CEX
WWLWEBRO2CD5UIV4XNQUB6VLODWFB5QERCF7BS2H73JXSJAAVKPHE3JSY4,,Upbit,1,Upbit,CEX
N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,,Upbit (?),1,Upbit,CEX
HMKN4BCGCDUFWIPOIKDBUTC6RXFKOKOB6TWO25ETRHTKJFTJZPD6Y3BOLQ,,UpHold,1,UpHold,CEX
WTIMETRQZRYWY3ZUIL3QZV5BINGRSX5ZC4CEBFMGULEAQMJ2QYPLJAGLM4,,UpHold,1,UpHold,CEX
FC7PNTX4BIYZFQNRY6RKRCRQQEEVUQMCJUEWFE24CFVR65L2PDK4M6YNOY,,Vindax,1,Vindax,CEX
JL6MNZADBYWCOPYJ2LG3HRDFWECVGQTDIJNKRCYBW6J6C3IUJ4APUP4NW4,,WhiteBIT,1,WhiteBIT,CEX
IMOKG5EGFBZUR5ESXIYXQ4WZHIYGEABCS6XVY3PSGGWBRUSS22FAUGVMHA,,Xeggex,1,Xeggex,CEX
C2BBUXNOPXGVL7Z6ZOXRGZQU2ICUA7PWKGKPTCLKZMM544ZLIZ2SSBHPOM,,XT,1,XT,CEX
EVYKEQBAWSPE6YQRPQPGSSO2L7U6WIM7CWU45SSWZHMCKF6FUTUGQ2KVWQ,,XT,1,XT,CEX
C4PZ7RSTYDAAEJE3PIMJW3BRYKNY6OHYZVZO6OLXPZKBMXVWDB4PBECTZI,,Kraken,1,Kraken,CEX
ZFY37HKKZ6QYZ2KOUPKAPCKLGPEDZT4FLLVITWS5VUTNOIDX3WVK2ENVIU,,Kraken,1,Kraken,CEX
7LXGH4WPEXJ3HOPON5BDHJSJ7NWPBAELDOWLINCMMW2GOQWOSSNP76D4ZA,,Kraken,1,Kraken,CEX
YDRTADVLLGLU76ARI4NU5V4XTXPHDJII7A5MY3UL6II77LGE5SPQUKJWI4,,Hoo,1,Hoo,CEX
FF5YJ5EJDDRDX3D54OEE76DIT2CII4KGU5B7K34B22OI5A2JHE7TNH6HI4,,Newton,1,Newton,CEX
VPEYFRK3E36FO7Y6PKKZVSPAK2WCWKLR4MQYHDIHKOTXBFTJVFQNWXI6DE,,Newton,1,Newton,CEX
3Z5XFNGHOV64UYN4OAZDFZ4ZJXUOXMUQNURYHZOQGR6NRE6FKYEIT5L34I,,EXMO,1,EXMO,CEX
