,address,amount_dec,circulating,label
90,M3IAMWFYEIJWLWFIIOEDFOLGIVMEOB3F4I3CA4BIAHJENHUUSX63APOXXM,"1,108,638.64",True,MEXC
91,MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN72KQ3XPJCM6NOI,"106,497,849.43",True,Binance 4
92,RO75J4FLLWSVFOOKLVXSUDRJTXSVZJEI5Z7XNAXTTYVPKAGTUWZYF3GWAM,"18,000.00",True,
93,55JRJV5VC7DEWNOG3RJIVINRPN25TWNPMBPM4LFTCUEBIU3TSMONCM77DI,"307,566.07",True,Algorand Inc: 128
94,Z7D6E3KNM3ZSOCIMHSWLTJOA75WGEEWMAVSJY3J4GGMO5FDLCY3YYCBI4Y,"51,081.45",True,
95,AWOLMPKP6U5RWZGYKSYPV2JKCBNGH2YQYYIM4VLRP5LX57GCNONKRSJH3I,"220,116.75",True,
96,IVLM5DFQAMBQW6QDT2PD4XPLKBFGXFTCE5HFNAT4ZXW6D2N5ECV4JDFZ4I,"14,285.38",True,
97,STGDQTISCRQ7NFLU3EM4IOEQYKUQO54SRX63E7WO6RO7OXRR57QVVQBOYM,"19,780.59",True,
98,TZ6BKEM2A4VLJUEK4PCHC6CDQ3RYRIHEGG5BIMOX5XRH6N4KDFSDVND4UI,"25,000.00",True,
99,ILER7WB5L46KQ5XV4QXT2WLWV4OOVDKSOEK6PSJ5YQYNQ6ZFRM2SJH54UY,"21,053.76",True,
100,IUSVMQ4CHZDPUGECUHKWKNWEBGUUJD6BXKFJJVXAP3KZPITIZEATUWLG6Y,"75,731.00",True,
101,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,"28,390.68",True,
102,MIHR7TQMMH2J6Q7PFQQEP7AAPVWPGNMPDKI2WDYDTM5P3RNKPD6X4UXG6E,"1,450,430.50",True,
103,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,"1,690,551.45",True,
104,WJUXYO3WMOB4F33MFUT34Y6SYMO6OZTXGSS4TPDNXK6ZRUIZXLIUWHR7GQ,"200,498.41",True,
105,VLEWTTV4X3F3NUBP7MMLEJ4HAAF3AXUO7PC2RWMGZMLFHIOYT3ECLVX7TU,"72,653.47",True,
106,JWOUUZ7YJJ42EHPRGW2NG64LZNUHNMWK7D5TE36GF6P6P2FXHGPZ42V2AE,"295,634.01",True,PACT
107,XPC37NKC7SZO3UNN654BMDSYXEXJPZ63BEOH7HYH5DSUYOLVPI243NMZZQ,"40,143.40",True,
108,AJZWAM4XIQVRAZY2A4NYRBNINDZCNQVFSJ67G23IUZ2SDDGHGXLBKF7ZLY,"26,031.79",True,LOFTY
109,CPMRVP35L6J6Y2D5TXG4ODNKT7GQFOZLCJ5CHF2KCDHCM4UF47FQ5UWSQI,"11,236.51",True,
110,WVSV2HZO5KZ6RBFMN2N6XQOQZUFBFA7DGQJJZ5WSUQBIZYDCG4JALLUG5Y,"10,204.19",True,
111,CEZ6TRLGQUTMDMBFBV44KGKIDAMKDLAEHUP3YMUYYBTJAJKKGLFNZXSTXE,"20,719.21",True,
112,CHRVPNNG3FDHL2IIFVUWUIRKIUVZWIPJIZ623M535HRPZQZYPKQ4LEHJ6M,"15,000.00",True,
113,WAYRUCF66SBUHMCYJVGALBXHQEYRRWVAEXQWE52TDGJFGXWDYR4LXXLB54,"20,000.00",True,
114,L2BBPVEU5CYJYH3OOD3RRFX3JRABYTMW4B2ALKUFQXK5AORKSH4QVRIR6A,"12,400.14",True,
115,ED3YC6CPYSG5SJFSAYDNYNBUVFP7GMKGY6QZII3RHRTDKDY3RUJHY6BH6Q,"154,308.10",True,
116,QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,"2,565,046.22",True,Binance 5
117,PLMSIDHTLKLU3UZAB7QMCV3VE7DQVZFXZ6PCIOUDZ67JXAH7JRR5AGGFNE,"17,555.32",True,
118,OAXOVTHYCC7OP7KMEPSFTI7LT5S7R4UPECFIT43B4HXFVY2UOUINUHNG7I,"36,542.99",True,
119,DKZ7K2PYZM5JP7KLWMFG7CZAOAKWG3NE7C7QQW2ROCH24MO6ZA5CZV6Z7U,"14,528.73",True,
120,YFIFAX5IRRQ336AURBHP7HX45FUC64ATB3UITV3DCWFMRENHYKF7AH2J5U,"46,182.91",True,
121,BYWGLBEZCKICWRARJ5KF4Q4ICUMXESBJDUNFSKLIJ5KIA4CP7DEJYENCFA,"15,780.00",True,
122,2JFT6Q4ENFFHAYEN3L4PFTJ6B3BGCNUVZDHS4GHV24A26GQRD2EW3ONDSA,"17,970.59",True,
123,LFTY3JW3ISORF4PBUCFO3G7ZMQIW4BKNXAQ53AWPSUAMIHCJLNIXAPT3OI,"32,090.04",True,
124,ZY76E5SDLK4KFKMA5LMZYQJMTWEPB57CSOKHN7COHVV5SRZHFRKROHBHTU,"31,879.21",True,
125,3XNHPBXO46MB4BVYZU3ASOTPB4STCGQDIJEQQONOJJFR7RICOHDW52L5UA,"19,278.00",True,
126,CHHUXUIAGYMN2NQNZWT2V27BFCL2XBHGTIJX5LMMVIKAE6HG7P45EATY7U,"30,900.00",True,
127,6TVDFRVEJMR7OTYNLR2Y6RDUHOK7L7MYJ6S65V6ECN2CJFACUZLFIDZNDQ,"12,261.14",True,
128,IEFBSZGREUXOFYDXVRMUYYWASF7HMS5RQ4MGEJMVY3SKD56TLDJYHJSEQU,"11,903.79",True,
129,IFLUTIVVB7SVXGVLXH4V2IFL6THPTIR6BTLOKX5XZTCWT7J7F2A6II4WEY,"10,532.93",True,
130,E236JYJFYTZ2Y7EY22T6AH7AATZ2JIJE2LMO56IVPIKFHONKLUB26MIZVQ,"11,760.35",True,
131,VZFACCTEOOQEIKMRQQMOO3XF7VL55OLWL4VUXQNXJ76HESLDCOQJZJORZA,"55,536.05",True,
132,CUK6SSYO4N4MXNDI6C54FCLPDHLBTAPBILHFBVHAPH3ML476NT4EQEEWL4,"42,687.86",True,
133,UC7XXADYZN6SJOEWWE3FL4NYBSFJHRLGRZ3TLCWWSA5PA7HCQ5GCPBPFBA,"31,243.53",True,
134,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,"26,817.52",True,
135,PSOJDDC6FQ5SUHGKYGYQC7SZEY77WLBZQJK3IMWRAGL2IGB7IWJ6ATUNQQ,"15,255.76",True,
136,QVBZ7DITN53OB4JFCZZQK4PGRLELTOSKVSSNGGSMCCPZ2OEFABVI3THNJY,"68,184.92",True,
137,7PUTVI34FZRM6SLVP4LJV6RM3MIR7SE7BWFLOJORMQVKGMAHIBD4PCC6K4,"10,354.35",True,
138,U56IZLBCMSDN3XOFHALAFXFTPYLCF23L3JEPKPTSGE3DCCE7H6T6XGAW6A,"12,503.69",True,
139,62KQXOVZIE6Y256DA6SPRIBVWKDALFZV53O7AJDVNJ6UTYFID5Y6MWCYMQ,"16,675.39",True,
140,YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,"12,130.54",True,KuCoin 1
141,YXDKDH5XHXL6OYMH2HYCJCXOZWPOBEUNK5ICFVJRFW3JVQXZ6HQ6QPVQVA,"12,130.54",True,KuCoin 1
142,M2CQXKQFADN24S5AAPTBXCEEJFY7L5ZM2SK5R43IZR3DXIOPWUTMO3SBTE,"17,035.36",True,
143,D6BQPXAXIXF7KAPWKIG5ZFQQXZ22DI5AGHR2QVIBHI6FPPV6MHKL7DPJQA,"49,999.00",True,
144,LUVFGAKLVPPTYRKID5DVHYNU2VP2LA3TGYNDJVBN3INMXZAVAFUN2QK4VQ,"18,180.09",True,algogaming.algo
145,Q5IUJGWDKXHYT33KWCOWUOKPQTLEHMRNRAIYLPVDYF3L2L6KCM6ZLWCBPI,"10,150.00",True,
146,Y4RP7I7HCPHXI2KIIETPOLLS64YLVO3VZRORMRPBKTJUBZT5AOFJA3Y33Y,"15,100.00",True,
147,TEIJICKMHJ2UNVD2INHN3JQTSZR4GY43ZVXMNY7VZQINXTT3D36OII5WTU,"12,887.46",True,
148,BAISSX7Z4C47EHZXGYJMCOLOOJ2J3ZGSTVUOQ6XPBJBZ6QZGOCCBTGJ2WE,"11,396.50",True,
149,5Z6QPMXMV3IMKESGSG35LRFR6NMWY2O3V7XXM2X6QJBJLXGLIIDAB2J7BM,"12,361.30",True,
150,FY6GKAXJOQ3KBYNGCJ5756CK5O4XJOW7XGSTXRH3WG5FARL6XXCAWCKJ6Y,"16,045.29",True,
151,Y5GTFKBTNCBSQ525VALDXMNAOTH37NIYOKAZE3SUMJ63RHYAZMWRZKAMOM,"12,683.69",True,
152,QVIPO7SZF66CLKADWOU3NF3JT4EL3KSMBTYCBVQVIMRWXH4VR5OXJJ7BZI,"11,677.93",True,
153,IAM56OJAL7ARMYIZYB6XN6NVAMMQMHWL2WOWU4QXG2EWC4CWAIMFSJELU4,"12,022.96",True,
154,WVQWINRJXYE5Q7AS6ZZPFAUU2KSGDGZQ34VRV7QZO4AF56I3VYYBTDFU3Y,"16,054.70",True,
155,HMAGWX7CAQWXNCBTLBNV6OGGAN5LY7OVKKLOQXCJWIBXIXTL634BWHSGMY,"31,402.16",True,
156,6YYNPQSWWSZI2FRZFB5YRQCK7CGIWD5WGKS2EZFQCES2RGURJNK763U3AY,"1,430,941.65",True,Circle Finance
157,OB6TPFLHO6WNN3O33Y6L3I6SQODVPWZ6TC5QJPJUWTGRYP6NL3TKFH3HVM,"16,296.25",True,
158,KGZDFZDECCZS3KSEXM4X24CDFPZIJVIWQRUUUSBVJRTRWLNWKSFUAU5B7E,"626,544.72",True,
159,VHZRD4BC3RAGB57TLIOOUJMYZPQDKNKUBALFHDWJK4BX5LEFGZO2JDKH3U,"10,555.97",True,
160,HP3QG3PNJFTM7PBZJA4LUAO57NRANK23MK77NURTRZRKIFAE2TMFHW7TCY,"15,001.01",True,
161,ONP26IJ2QPF4TLIQ4DWLBHMRHQRCSJD45WQNCRJBKCJH3H73OGKZ42QSJY,"10,564.47",True,
162,3LE2RYNQZSUQR76ZRSNL4GWVQ64PUUO2CJVU76I2VZJ2KOI2SIJ66ANHJQ,"14,116.41",True,
163,RH4D2JIRWYYTWZFSB4JS7T5IXOK2YIJYWME5YH3DKNWPULKGZ3MDPVEFJE,"65,250.00",True,
164,EBUF2IOV3XPO337UNOLMAJ62XZBFQOIG4OYCVQCHFN5RGTQV7DY227QQYQ,"15,917.65",True,
165,ADYJA4HLPSYGOINCIW4OQ73HVILFD2IBCYQ5MVQDLJ3QFXRIDPTOBTCQV4,"52,452.11",True,
166,URHJRWZEPLM4DJLKCF26RDDUGBWH4ZZAB3JLKDMG3XWTRCERYUNOOIHFVA,"29,876.00",True,
167,XMNATHTLITCFSE2PJKX22Y3FG4NS5VP7AFQWNTOGN5E7UJV2HOYZ4DKRT4,"12,995.43",True,
168,YK4O5TAYQ3AUB5F7DBPPG2WO7R54UYMO445UGLNJYFPI25WKFHOLC2CUJU,"17,351.84",True,
169,6F5FKABXAPD7FEU5UJ2FXS23KDIIC3GHDXZEE25727EA7NOFX5ZMNODMKY,"10,776.88",True,
170,UC4AUDFKY7KMFWABG2F47WAS32MBDIJ4HJ6RDCJHSZBOVVWGANCWWOGWGQ,"54,633.65",True,
