addr,app_id,label,is_cex,entity_name,tags
ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,465814103,Algofi - USDC (Market contract),0,Algofi,DeFi
DAUL5I34T4C4U5OMXS7YBPJIERQ2NH3O7XPZCIJEGKP4NO3LK4UWDCHAG4,465814318,Algofi - Vault (Market contract),0,Algofi,DeFi
Y7WO5IVHUYU6J7OA2EOLRXNYVOE2IUXJCARUCOWIOJ5BMCIL6VZ63CX4WU,900653165,AlgoFi - Voting Escrow App,0,AlgoFi,DeFi
5YHFAQHZTQIYBVYPC3QMEPMZN6WUCJL3TIFVXHSROQM55S2EJEQILOD2ZA,962407544,Algofi DEX ALGO-BANK Lending Pool Staking,0,Algofi,DeFi
NGIHJMECRSFHIEQDHBVTLR54K7DOZWM5M6UM3A5CIOYSP6H3QTGSHHGJCQ,605929989,Algofi DEX ALGO-USDC Pool,0,Algofi,DeFi
UO47CTCILYLSKVMDCBGDVV75V74QQQ45YDSGAHEOOBS4NQ7JTZIHMWZYWQ,906655543,Algofi DEX BANK-ALGO Pool,0,Algofi,DeFi
LBRTQ6SYVS6CQNHTRZBAZLXT7KWCEF4PWIJIJNJTSA3QAVA2L4QSXWO3XE,855716333,Algofi DEX STBL2-ALGO Lending Pool,0,Algofi,DeFi
HFQETGRZ75KUOIZDNVNVIACTLKM22D3FOED4HGN4UWH32WZPXC6LROWGHY,919964388,Algofi DEX STBL2-ALGO Lending Pool Staking,0,Algofi,DeFi
RHU2MRXMIFEWQVH5V53IWATYJCPSQX3MUW3NG5A3EKVNGWOPXTTNRXBQCQ,900923609,Algofi DEX STBL2-BANK Lending Pool,0,Algofi,DeFi
FKXBHOUIP3CEWA4KFZ3AMVXOFTMHSB3DEO4RS7L4K3VOKAIUOKCIELBPXY,962367416,Algofi DEX STBL2-BANK Lending Pool,0,Algofi,
5LHWUSIXJFLF2TEVC4I4AWTDEBPTX3ZIFDEMK5W2TNLFQRQT4YABMAWG54,900932886,Algofi DEX STBL2-BANK Lending Pool Staking,0,Algofi,DeFi
N2G5STD23ZD5BWNHP674R4GANGQPR3DBT5HWHOJAGULII3VGWFBM7XWDXU,870150391,Algofi DEX STBL2-goBTC Lending Pool,0,Algofi,DeFi
EQ2MFLE7KZILGMRW276JGN2OUXLMNVGX3F5SPOL2B6BNIU435SPIXOCJCI,919965019,Algofi DEX STBL2-goBTC Lending Pool Staking,0,Algofi,DeFi
YINQJPXRS64XHZZWWXGCDBXJXWOXCAZM3RP5NSQKBT4V3B2TSWOHWJGMTI,870143131,Algofi DEX STBL2-goETH Lending Pool,0,Algofi,DeFi
6R2GTD2ADAS5NK54YXBNMWCHS6QAFSGOUNROX6HQPBCKPAM5CSTDRRU3XQ,919965630,Algofi DEX STBL2-goETH Lending Pool Staking,0,Algofi,DeFi
K7ZA7JREELNPPFR6RITOECCTSSYWR5KBJ35R6YV4NCBCUQ3QD4QU7ZOARI,919950071,Algofi DEX USDC-ALGO Lending Pool,0,Algofi,DeFi
NC2NMVH2DLHYNMC5JQL57RQF2BOC6ORSBGDJCU6M65JFEXYNHYBMDZDXIQ,919964086,Algofi DEX USDC-ALGO Lending Pool Staking,0,Algofi,DeFi
EUK43Q5J3UCS3FT77KHYF7MQUGBG4SOAOP67DTIHWFT4A7OFCYB7AGAKIM,900883415,Algofi Lending Protocol V2 - BANK Market,0,Algofi,DeFi
