addr,entity,amount,is_online,is_eligible,is_cex
QWKLUAQ37BGQS4G6GTGIWPMIIOS4HHUELF5ZXWP2YNTELCTHJXUMTLVDMA,Crypto.com,33528585.783005,False,False,1.0
JHCVUBWAJHEMNPBZDNYVXK6DNRFUJWNLWXDDLLBOLIL3KFCQAOI3XVMWOA,Algorand Technologies: 287,33308911.669626,True,True,0.0
PZ7TILKNWVGJTAWF7YSBYDHT44SN6NQJXHI55ODGJXGXHGB64BH6MBDGFY,Algorand Technologies: 288,33274634.890619,True,True,0.0
EG6JXQ3TQBWRSTR3OEDUS5RTPLMA4KTMJIV3N6DO7XN2XRKIFEN64DY3BU,Algorand Foundation Treasury,33259999.989677,True,False,0.0
UTFJWM5YP6TSR66YHRYBNDZLCYTTSMLDBKKFTEE723HT7GJBGNCWD6UDC4,,32490460.23561,False,False,
SJYNEQ36GVJBQ3YRZTVQGMFQDHRZKK3SGXF224WKNP7S3NAU563RNPUMWA,,32389044.624531,False,False,
WDWBXGJIXO3N6A7AZ25XU4UX5Q3FJJ5CCKFCUEUWE75ZF5I6H47X37EY6M,Algorand Foundation Treasury,32050280.920132,True,False,0.0
DEK6IBQKSX5JPKUSIDCLRUEXTAJLSEM5EFZWXDDYYVPKBH3JOS4NPT477U,Algorand Technologies: 289,31147107.445655,True,True,0.0
O4WKNVA25QYYMN3NW534CWE65PPIMU56TNB5ZJIKGOQHBXEFU6QACUJWOQ,,30692845.167124,False,False,
P2W7L5OERZ53KV4LJOCV3HR75ZPA6BDLHCAL27IQSIE2WDFGRFEGL524VA,,30692845.166672,False,False,
A6B5AKODYAMHTQ7B4PJAMOLDLZFMAB4QOXJJP6I3FC7YIPOPD6PL7ZYRCA,,30409370.260673,False,False,
PRNU5BPKXY5G322XPP7D7R7NH7MFFUUO44522T3P5OT64DB56JJ5ZQJ4LA,,30390934.95998,False,False,
I63NBAY2FYICKXSF7XFJRUV3CQDB756EDQ245D47Z34LTEFP7JYXS56QTM,,30221484.609608,False,False,
FRWQZO4A6NZKANEYYWAHZIBHJ46T2LVRFACCLHUY3JQAJLUIWNQQLOQ26A,Algorand Burn,29525119.542542,False,False,0.0
ALMEZURUOG7R2QKPZIPNQAFANRQEZU4J22ZJYW6HARU4IZCZGEHNTZMO6U,,28967355.327325,False,False,
Y5IHKEQSYPCI3XMPB2JFSKHQL64CLKMRXZA3TQVUKNDJVCGW6EY5WI7L7E,,28620223.062707,False,False,
C2QRHHR3K7KSLNQV4BJCD6UVM5OJSSXTV2YQR6DOYVL3X7ZGC2BBZRFKEE,,28045857.001764,False,False,
W425PRGCPQFAKWSN7D2QKGKBHUWEVV4Z5PWLKUTIGYULGEU5ZDXOAKETC4,,26224713.257438,True,False,
EYNLSXSZFXDQBBJ7AQX35SVU6YSMINGLFZTOUOK7EYZIWG7AICHFVW5QPI,,25338277.104495,True,True,
3YIIMZRD4UVBXWQKCROQW5KRWGS6KPK6F6C2B6GYGANPMBLGJ5HYOQVP4E,,25338276.916494,True,True,
F4M4ECEE6RIZB2QDM6CM46MMK5KD2F3FTVANKXZMH5TDBIEXAG2FOAK3II,,25338276.908495,True,True,
H4PFJ2T5FSYKIQYJ6YZG5XE7B4X2TKHUDZRBDJXNEHCUMAGTKYLW5Y6XHQ,,25338267.096495,True,True,
VVU2LEKHHCF2PACOOIMSH6WY6AM5XMFWZRGWVHR65CILVVS6F4PHNIH35Y,,25338267.096495,True,True,
4TPMQLUIBMQ6ILR4FSBEWJACEOYJVYZ7PWL333KL47DHVT6TJHH55E5WWE,,25338267.096495,True,True,
7IISQ474IZKGPO66HGBWUBHAJR4FLYLR52NNMPVN6NA2YQOGYDKJNK36RU,,25316199.139183,True,True,
7USALIOQHU2BUCTYP3ZZMUO634H6OWPERHZQQO6FVC7P5CYDWRXEW5VWZU,,25313503.785183,True,True,
H7CDKBNTC4OVBFZXFYG5CEZJXA4VDRJGHT26MXOJVBGPI7MMO7VSE4RZHA,,25312094.760475,True,True,
32ITT53SHUL5UFMS6AGYGWXX2YIDD5UAV7ZRWVOTJPDFSVDCFH5XTFGTOQ,BitPanda,25152656.837034,False,False,1.0
OFB2SMWDDB3V4RYRSC6EXJYB2RYFVPWGYYEGAOLK52TN72G2DELKVENV44,,24669054.73644,True,False,
2JGGWKOIKYZB4HLG2X5DWHD5EWCUOQR7DC6VOEMWELIVNVVAF3BEUWJR7Y,Algorand Foundation Treasury,23999999.995703,False,False,0.0
O4N25TS4Z5SC34VZ6R6RU74PCEIUTJFSDSKETNDYU4CXI3C2BFYXCYEKAU,Algorand Foundation Treasury,23999999.991612,False,False,0.0
YCPZ6INCKVD24CUIJYHWU2JZRPXEX3UXV37I6XHG4WEN7ZZ7LAKY6XLPPA,,23941973.702287,False,False,
XW2IJ66DNIFH4NTP3LSMT4XUYK3RQESJBTY255O74POKLYB2CTJGVLSNNI,,23654244.780523,False,False,
E2225CLUCSWGT22TZO4SIZXNYT2GMQAZCI7Q5LCCB6HTDZFRPUTT2TJHMI,,23572300.479361,False,False,
T6MXHXMGXURKJ7AD5NCB4IYPLWXYXKKFLLO5KAPJ56GKS7BFXHNHOODZCM,,23307890.633955,False,False,
42BFW4KZXGUKYAIWJRY6JSP42EI2STN36CJ3YVEBOMQJTXKZ3BVQAPOF7E,Binance,22351389.656321,False,False,1.0
5WCIZNGQQT747WX3RTQIBJHOMJTQRUQBBH3PMK4YLP2X33AICJEUTL6F2E,Algorand Foundation Treasury,22020000.242262,False,False,0.0
R3T4HFV3QXOHCZHRSQDJATCI2E7KHFA4BAWG5C6CGS3MGFNUFSI5FAYEN4,Algorand Technologies: 290,21378928.665787,False,False,0.0
MV73PL6DUWYJ5X2BMY26CDXXCUYSUUONATRF53M3MY7JAVW4ZOGNKYMKAY,,21360810.265149,False,False,
MUXBRV3XJCYFJ63YE7HYGKS2DV6CCTEJD5VOIJNEMNU4G5Z7PX6MLNGZD4,,20627492.068432,False,False,
3FMAGBC7MEKTRPQ545YPEX665Y23XZX2O2M2DDB4G2B2RMCVDVK2GIQOYI,,20513516.004681,False,False,
5PBRG5UQEJSTS7UACFBLFKIJYTLYKOJZXJQIGZFBQANKMU54FOIFYNQO54,,20251322.219613,True,True,
3YQ6JSUPUEI55JTJSBBKIOZBB6QFYYDM2OZYHFZ6EU5TF2VQIN27N5HX3Q,,19719668.948584,False,False,
BVMEUTF37WNEQ6GYCZISRFHGLEMOKT5OCPPTTJXVED6JBSXKF6YJJRZRI4,Gate.io,19046941.775568,False,False,1.0
EMXK2BTCC6S2XS6PPFGIB6N7QGATLJPFA2BKY46JCGWZYIH43WDVAIMGQY,,17395006.492184,True,True,
EP2YRTCL3SAA7HYG7KKWUC6ZH36SLYIKOX4FORKXZLUUQASP5JDJP4UU5A,,17154277.171266,True,True,
PWE6I2NRNQKP73A6Q5MYUYEW43F6YSK2ZOHQ6XOVNOIWA6B4D64ZFSD7QY,,16869396.109005,False,False,
3XQ3RJXTG2VDOV45ZKYIGEVXP2VF2HDZJX6I3NUCIJHXGHYEDA74LRSQ5U,,16593115.653635,False,False,
T22CWPWN45NFINJY4AABCU7MPOXSPN6RC63M5MNXEYURWLO5J6RZODE4RM,,16479055.533784,False,False,
G5J6M6SLXJIG3AYFJH2RGIFRVIEATBXKJWGXDVC2DQ7BQAJTHHNJHB5LQY,,16479055.533758,False,False,
2QW4MAGTGHOWVKZOKKNVG5LPKIZQNKD2NZ6GQI3STK7CDWB2S7XCBOI5RI,,15866067.562817,False,False,
BK55GKDK4YNJNOZ7DRICQTSJHS4AG6BZDJQWPVPHTDVKAWRFMABXYAWIX4,,15746687.450657,False,False,
D6CCE7DL3GSVOCQDPWMNR5V7JEKGXOJACCU4A4K76DLJHZ4H47WRVBPUNY,,15655527.829353,True,True,
PN37QBQTJVXCW4MM73OCM7M52PTYDV3ZYTW7QRA32OHTMEQVMQVKI74T2E,,15553327.442088,False,False,
KIUSXL6T5Q4GOCYIT6OAMDL4JW53YNZHJTBOEO5L7PYTI6DPZR6VNGUIJY,,15305818.779061,False,False,
UPVAJGLG3UMZZWPNPHSZXTFXYJLFFKDXUHPAXDSLEJ4IA5HI66ALSJFDHU,,15305818.778809,False,False,
YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,,15286747.446553,True,False,
M7NWQF2I7ISEXGH25BVQLIMUIAQCVEG5Q7QW2ZHWQ3J5L7VYZIPJLNHCUE,,15215004.013529,False,False,
QWEL4RJCJOHTF2Q2W6UQFR2ROPZPKF252UYR2RIV5O2RPMTE3WBTQ3FGIM,,14652526.124331,False,False,
4XMYSESRPRVOFT4EB5XXHHQSEQBTUA2XNIKWUOI32EWPL5N5RUUNWE4IJ4,BTC Markets,14581978.12209,False,False,1.0
ZEJPIFQF5MSDOB3YA6OUG4S26FFX64SCTHKDMYCCB26JGG7DC4IPBWQSLQ,,14438097.093472,False,False,
5622JWBD3TDOJUTGFIB3H3TI4JE5ARW7W3WQL6JIJQ5ATFQISRSBVKOD6U,,14310505.786567,False,False,
LCXGPFLA6PHFNMBTENQFGLHP4X2Z7SRZEGRXURTOJ2LWLNUUG4KX4EYTMY,,14015104.125785,False,False,
DBS4UJG6JIMSBS7NR5UU6DPALVAVU3NBI6JC4SNOBZSHOGCYDSQVW2WQKI,,14003957.031032,False,False,
TUIFRQ3G6UUTS6UZ4SMLQT3KHNCQD5LCCWVNPMELNA5KOC7ZD3FNDHP5K4,,14003957.031032,False,False,
DTT5HQWVIAN6APAJSEBZ5QWR6Z5KXYQYXZRRQAMTOD3OVX63UNYCQ2LN6Q,,14003957.031032,False,False,
ASDNGCOKPWDF3IFVNGVYTRC4EBU4RGFBIX4PVFMBVUM3T4WIKID5GABY3Y,Bitvavo,13866859.031952,False,False,1.0
XTTRFLZYQU4M447PWB423DIHP2EKW5GT7BYTBDXFZRDIGON6FARR2LAZUE,,13810482.454454,False,False,
VRMYO3NMIQSYZZPLMIL4RRC6GTKGPGTE5N52LJ3VNUNHE64BPFZJUYGBBM,,13574850.532949,False,False,
5FBQMKEJ5BAEZVRLRIZPTUJEIDZJCBL55OKKG62TQDRV5FR2CQGH2XYMHU,,13471882.550273,False,False,
NTQJNIGTE3BCD2QRLHXFI4WRXOQQVSHJ5NDUW6MSD55BM4TAI4E5CCUW3E,,12793808.377298,False,False,
I55RNI6U5IBCYLHIYXN2ZGHQ3AZDOPU5B27DFNHWUX5CGJVVRUOIYQSG3E,,12584082.342937,True,True,
UCAUO4KMSDYVFBVYCAK4ME3FJBCH3HN5KUYPZXXNZOU6CT2SUUM75UAKPI,,12426969.931553,False,False,
VN6EIKG7SWCM4FBQMLOPER5XZBBOEYEF7OFUXT7RLI2TLGNLZVHF5WCIK4,,12213304.302125,False,False,
ALISHAN5VGS42YTKI5KRXHY6JNWPL2SGCDBVQJ74T5Q3NCXXXOR74OTPFU,,12190161.490733,True,True,
NK4LJRLUFKMSRJW4IWUMHXMNBSUZWNIX7GDTJ5R2IOJORCJGNPPTSCE2WU,,12159321.696971,False,False,
2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,,12158872.248076,False,False,
WW5MEAVIVE3X4N6ZED4CEXUKAAEBACMS2HSGG7GIOXKHWCWKCAGAWDSGL4,,12021657.425594,False,False,
7ZUHI3E5Z7V5XJTQISK76KXG4O7KJY66VD7LFIX2EZ5Z5VOVZBONZDAVWM,,12021657.424716,False,False,
M3B6LT7IWT6CQ7NZEWSCEMWX2IWY3RC5EMZISW2V6WBWQ3IFK3EVOWJSCE,,12021657.42356,False,False,
5I7NE6QCQYZUUKKMZ2HLB2AWO7NDUXNKVFACAF46NEP3TA6ZHAYOHIEVMU,,12021657.420436,False,False,
N54XK33DDRBO6QDTARBQKLPZBOOD2NI5XACP7K73FB4S34ILJ3EFG5X5Q4,,11933821.329318,False,False,
25XTZ2EZQQT4UKJ3KR6BAOYAEBCEP43SHZ3NFUGCXYNLBI5JLBFSF7ULCM,,11810662.93763,False,False,
6I6RUCQIEFDMBTFLPSLSYHHPPBTUB3BHQQUMYT7LPGN627TMLRLR234VBE,,11757481.585323,False,False,
OYUTVRMJRAVXKYXS542BNWYRQE2IZJJKPROL6JHLBKEAXYURKQ5KARXH6U,Bitvavo,11713228.944244,False,False,1.0
LLDPRZJUNWC75TS4GUGH5WFDD4GFMFKLAMLCGO4SX5WDMIKCQPCZ6ESERM,Algorand Foundation Treasury,11165210.909425,False,False,0.0
6YGOGW2637RF4I5ZRHXCU5OVMNNFK6CSVQHINA2CUSOHKNWXDOSR2HTJFI,,10607463.492452,False,False,
4SOZXGYC5MGZ4S24LX3MHOLYVBZNOHNUN5MP4E5TLX6TXP22BZ6KNN4UQI,Algorand Technologies: 291,10237687.368269,False,False,0.0
QB5E4AHTVZKE3SBBKYWMQ6OEONXLMOJUPEZ2LZNSAEUBUU3CZSSSTWBHCE,,10105451.539192,True,True,
B23XLXSA3MBU3SLP5EF2HE7JRR2UMFNKZBIDRWQPGLGCNDNCABWHMDXPMQ,,9915563.784573,True,False,
PCMFLIVWPDO6IOEZRWY74DY5WWLVTFOCALRZMBYJJGBIG7SUJVSCHE7C5E,,9913435.373646,False,False,
P5IFX3UBXZJPDSLPT4TB4RYACD2XJ74XSNKCF7KMW3P7ZGN4RRE3C2T5WM,Paribu,9857854.13654,False,False,1.0
W2UJN6OSBIKS6KZSUWAEEUTVIFE6Z7WWQU2EX5NGXQL6HFJCTWQG57DKZM,,9836121.379791,False,False,
2JBQSMWAZANNM5U2P2DPCBVJ7VYLRT7LA2AOP7JGUF4HIBV6XBA3TBGXGA,,9727296.552005,True,False,
Y76M3MSY6DKBRHBL7C3NNDXGS5IIMQVQVUAB6MP4XEMMGVF2QWNPL226CA,Fee Sink,9716172.712488,False,False,0.0
YA73DAAA6VH4ODDNXUPBCHKRGRXHZWJIMBI4Z3HE65AHDBP3LV3ZUI7OOM,,9710443.36222,False,False,
SMB3PNHPITECC5LURJN425G6MAZVPZQ6PEXJWVM3PZTYPEPZ772GLYBOIU,,9535409.184242,False,False,
IABN2WOU25THQBVCUGVPE7AMSNYM2HF6XSJQIW5DIMHAELBEQAM3PSVXOM,,9500722.004932,False,False,
2LHXZM32MSVZ5W3OMB34CDQDQERF6NY357AQRPTK4I7ZWKDFNRRW76NIZM,,9411574.917497,False,False,
OYJ55HSWCKCACV7NZTJ36D3VYSNMDDH5ZCSIHVCYUJWAFXWCE7KK2EEZNM,,9296017.061016,False,False,
UXVAPU4KERSMNUILDVZUKKF4KMWQ7RFSSYPXYSEGSYNYILC4FEHISKRBNM,Coinbase,9160743.939878,False,False,1.0
LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,,9015423.391996,True,True,
JQTMUMGTJCHZKOVFN6KKQLZPVFZ236LUKA7G3BPGUO47BBEFKMSN2QGKDM,,9014540.943779,True,True,
SGMQQBHNMKRDIZ5YY3ST3X55OFGGKI7S7PALMZUV2UC6PVEFKYPN5MZRIY,,8998533.521914,False,False,
WYZKTNGG4BPCNLQE3QUI5S3JOVZTB4RZ5KJ67R5PBORUCOB7UE4MEZFJVM,,8540762.641125,True,True,
G3MB25R2F7MJULO7G4YEVHXBABKOSKTQRK33367GQM5BTPLR5WEZGGZFCY,,8333151.28559,False,False,
DGNVBFFEEZPLY3F7QSVAA5VZI2NH4NIEM43SJ2PDDJDQ5TOR5QMRX5EYRQ,,8241125.466021,False,False,
